items
"mayor_5_min: Falsed, tiene_tags: Trued, categoria: Trivia Facts Quizd, popularidad: Trued, duracion_segundosclassified: Medianod, promedio_tiempo_reproducidoclassified: Medianod, impresionesclassified: Altod, tasa_de_clicksclassified: Bajod, vistasclassified: Alto"
"mayor_5_min: Trued, tiene_tags: Trued, categoria: Animals Quizd, popularidad: Falsed, duracion_segundosclassified: Altod, promedio_tiempo_reproducidoclassified: Medianod, impresionesclassified: Medianod, tasa_de_clicksclassified: Medianod, vistasclassified: Mediano"
"mayor_5_min: Falsed, tiene_tags: Trued, categoria: Trivia Facts Quizd, popularidad: Falsed, duracion_segundosclassified: Medianod, promedio_tiempo_reproducidoclassified: Medianod, impresionesclassified: Medianod, tasa_de_clicksclassified: Medianod, vistasclassified: Mediano"
"mayor_5_min: Falsed, tiene_tags: Trued, categoria: Animals Quizd, popularidad: Falsed, duracion_segundosclassified: Medianod, promedio_tiempo_reproducidoclassified: Medianod, impresionesclassified: Medianod, tasa_de_clicksclassified: Altod, vistasclassified: Mediano"
"mayor_5_min: Falsed, tiene_tags: Trued, categoria: Trivia Facts Quizd, popularidad: Falsed, duracion_segundosclassified: Medianod, promedio_tiempo_reproducidoclassified: Medianod, impresionesclassified: Medianod, tasa_de_clicksclassified: Altod, vistasclassified: Mediano"
"mayor_5_min: Falsed, tiene_tags: Trued, categoria: Trivia Facts Quizd, popularidad: Falsed, duracion_segundosclassified: Medianod, promedio_tiempo_reproducidoclassified: Medianod, impresionesclassified: Medianod, tasa_de_clicksclassified: Altod, vistasclassified: Mediano"
"mayor_5_min: Falsed, tiene_tags: Trued, categoria: Trivia Facts Quizd, popularidad: Falsed, duracion_segundosclassified: Medianod, promedio_tiempo_reproducidoclassified: Medianod, impresionesclassified: Medianod, tasa_de_clicksclassified: Altod, vistasclassified: Bajo"
"mayor_5_min: Falsed, tiene_tags: Trued, categoria: Trivia Facts Quizd, popularidad: Falsed, duracion_segundosclassified: Medianod, promedio_tiempo_reproducidoclassified: Medianod, impresionesclassified: Medianod, tasa_de_clicksclassified: Bajod, vistasclassified: Bajo"
"mayor_5_min: Trued, tiene_tags: Trued, categoria: Entertainment Quizd, popularidad: Falsed, duracion_segundosclassified: Altod, promedio_tiempo_reproducidoclassified: Altod, impresionesclassified: Medianod, tasa_de_clicksclassified: Bajod, vistasclassified: Bajo"
"mayor_5_min: Falsed, tiene_tags: Trued, categoria: Would You Ratherd, popularidad: Falsed, duracion_segundosclassified: Medianod, promedio_tiempo_reproducidoclassified: Bajod, impresionesclassified: Medianod, tasa_de_clicksclassified: Medianod, vistasclassified: Bajo"
"mayor_5_min: Falsed, tiene_tags: Trued, categoria: Holidaysd, popularidad: Falsed, duracion_segundosclassified: Medianod, promedio_tiempo_reproducidoclassified: Medianod, impresionesclassified: Medianod, tasa_de_clicksclassified: Medianod, vistasclassified: Bajo"
"mayor_5_min: Falsed, tiene_tags: Trued, categoria: Sports Quizd, popularidad: Falsed, duracion_segundosclassified: Bajod, promedio_tiempo_reproducidoclassified: Bajod, impresionesclassified: Medianod, tasa_de_clicksclassified: Medianod, vistasclassified: Bajo"
"mayor_5_min: Falsed, tiene_tags: Trued, categoria: Trivia Facts Quizd, popularidad: Falsed, duracion_segundosclassified: Bajod, promedio_tiempo_reproducidoclassified: Medianod, impresionesclassified: Bajod, tasa_de_clicksclassified: Altod, vistasclassified: Bajo"
"mayor_5_min: Falsed, tiene_tags: Falsed, categoria: Trivia Facts Quizd, popularidad: Falsed, duracion_segundosclassified: Medianod, promedio_tiempo_reproducidoclassified: Medianod, impresionesclassified: Bajod, tasa_de_clicksclassified: Bajod, vistasclassified: Bajo"
"mayor_5_min: Falsed, tiene_tags: Falsed, categoria: Trivia Facts Quizd, popularidad: Falsed, duracion_segundosclassified: Bajod, promedio_tiempo_reproducidoclassified: Bajod, impresionesclassified: Bajod, tasa_de_clicksclassified: Bajod, vistasclassified: Bajo"
